user_id,key,event_type,timestamp
advait,r,down,1754074143.0678475
advait,r,up,1754074143.1720555
advait,Key.space,down,1754074143.1736982
advait,Key.space,up,1754074143.2780097
advait,l,down,1754074144.3881264
advait,l,up,1754074144.4918437
advait,i,down,1754074144.655158
advait,i,up,1754074144.7425592
advait,k,down,1754074144.8575027
advait,e,down,1754074144.9720762
advait,k,up,1754074144.9863968
advait,e,up,1754074145.1276298
advait,Key.space,down,1754074145.1276298
advait,Key.space,up,1754074145.2276196
advait,r,down,1754074145.8066611
advait,r,up,1754074145.9242852
advait,i,down,1754074145.9990156
advait,i,up,1754074146.1165156
advait,g,down,1754074146.340544
advait,g,up,1754074146.457608
advait,t,down,1754074146.457608
advait,t,up,1754074146.5561478
advait,h,down,1754074146.5609205
advait,h,up,1754074146.6604083
advait,Key.space,down,1754074146.724167
advait,Key.space,up,1754074146.8248315
advait,c,down,1754074147.673645
advait,c,up,1754074147.7913644
advait,h,down,1754074147.7913644
advait,h,up,1754074147.9220896
advait,i,down,1754074148.0575786
advait,i,up,1754074148.1456838
advait,l,down,1754074148.2708454
advait,l,up,1754074148.4016845
advait,d,down,1754074148.4981804
advait,d,up,1754074148.609605
advait,Key.space,down,1754074148.6550868
advait,Key.space,up,1754074148.7693007
advait,w,down,1754074149.5459678
advait,w,up,1754074149.6850343
advait,i,down,1754074149.722678
advait,i,up,1754074149.881849
advait,t,down,1754074149.9119294
advait,t,up,1754074150.038453
advait,h,down,1754074150.063216
advait,h,up,1754074150.207642
advait,o,down,1754074150.3474958
advait,o,up,1754074150.48952
advait,u,down,1754074150.6177936
advait,u,up,1754074150.7207053
advait,t,down,1754074150.734595
advait,t,up,1754074150.8468065
advait,Key.space,down,1754074150.8912716
advait,Key.space,up,1754074151.016604
advait,a,down,1754074151.2791765
advait,a,up,1754074151.3641746
advait,l,down,1754074151.9884431
advait,l,up,1754074152.0957434
advait,s,down,1754074152.1113005
advait,s,up,1754074152.2179444
advait,o,down,1754074152.2603219
advait,o,up,1754074152.3933923
advait,Key.space,down,1754074152.4954286
advait,Key.space,up,1754074152.58912
advait,t,down,1754074153.090893
advait,t,up,1754074153.2189207
advait,h,down,1754074153.2739604
advait,h,up,1754074153.4123056
advait,i,down,1754074153.5322244
advait,i,up,1754074153.6739197
advait,n,down,1754074153.721543
advait,n,up,1754074153.8473563
advait,k,down,1754074153.913781
advait,k,up,1754074154.0634687
advait,Key.space,down,1754074154.2018347
advait,Key.space,up,1754074154.3113897
advait,i,down,1754074154.7459805
advait,i,up,1754074154.8954513
advait,n,down,1754074154.9486058
advait,n,up,1754074155.069777
advait,c,down,1754074155.1857352
advait,c,up,1754074155.303512
advait,r,down,1754074155.549663
advait,r,up,1754074155.6527038
advait,e,down,1754074155.7590938
advait,e,up,1754074155.9030533
advait,a,down,1754074155.9584603
advait,a,up,1754074156.112242
